keyword,store_id,zip_code
7up,,99503
7up,,99504
7up,,99515
7up,,99577
7up,,99611
7up,,99615
7up,,99654
7up,,99701
7up,,99901
7up,,97060
7up,,98057
Almond,,99503
Almond,,99504
Almond,,99515
Almond,,99577
Almond,,99611
Almond,,99615
Almond,,99654
Almond,,99701
Almond,,99901
Almond,,97060
Almond,,98057
American,,99503
American,,99504
American,,99515
American,,99577
American,,99611
American,,99615
American,,99654
American,,99701
American,,99901
American,,97060
American,,98057
apples,,99503
apples,,99504
apples,,99515
apples,,99577
apples,,99611
apples,,99615
apples,,99654
apples,,99701
apples,,99901
apples,,97060
apples,,98057
artichokes,,99503
artichokes,,99504
artichokes,,99515
artichokes,,99577
artichokes,,99611
artichokes,,99615
artichokes,,99654
artichokes,,99701
artichokes,,99901
artichokes,,97060
artichokes,,98057
asparagus,,99503
asparagus,,99504
asparagus,,99515
asparagus,,99577
asparagus,,99611
asparagus,,99615
asparagus,,99654
asparagus,,99701
asparagus,,99901
asparagus,,97060
asparagus,,98057
avocados,,99503
avocados,,99504
avocados,,99515
avocados,,99577
avocados,,99611
avocados,,99615
avocados,,99654
avocados,,99701
avocados,,99901
avocados,,97060
avocados,,98057
bacon,,99503
bacon,,99504
bacon,,99515
bacon,,99577
bacon,,99611
bacon,,99615
bacon,,99654
bacon,,99701
bacon,,99901
bacon,,97060
bacon,,98057
Bagel,,99503
Bagel,,99504
Bagel,,99515
Bagel,,99577
Bagel,,99611
Bagel,,99615
Bagel,,99654
Bagel,,99701
Bagel,,99901
Bagel,,97060
Bagel,,98057
bananas,,99503
bananas,,99504
bananas,,99515
bananas,,99577
bananas,,99611
bananas,,99615
bananas,,99654
bananas,,99701
bananas,,99901
bananas,,97060
bananas,,98057
bar soap,,99503
bar soap,,99504
bar soap,,99515
bar soap,,99577
bar soap,,99611
bar soap,,99615
bar soap,,99654
bar soap,,99701
bar soap,,99901
bar soap,,97060
bar soap,,98057
Bean,,99503
Bean,,99504
Bean,,99515
Bean,,99577
Bean,,99611
Bean,,99615
Bean,,99654
Bean,,99701
Bean,,99901
Bean,,97060
Bean,,98057
Beef,,99503
Beef,,99504
Beef,,99515
Beef,,99577
Beef,,99611
Beef,,99615
Beef,,99654
Beef,,99701
Beef,,99901
Beef,,97060
Beef,,98057
Beverages,,99503
Beverages,,99504
Beverages,,99515
Beverages,,99577
Beverages,,99611
Beverages,,99615
Beverages,,99654
Beverages,,99701
Beverages,,99901
Beverages,,97060
Beverages,,98057
Blackberry,,99503
Blackberry,,99504
Blackberry,,99515
Blackberry,,99577
Blackberry,,99611
Blackberry,,99615
Blackberry,,99654
Blackberry,,99701
Blackberry,,99901
Blackberry,,97060
Blackberry,,98057
blueberries,,99503
blueberries,,99504
blueberries,,99515
blueberries,,99577
blueberries,,99611
blueberries,,99615
blueberries,,99654
blueberries,,99701
blueberries,,99901
blueberries,,97060
blueberries,,98057
boneless half ham,,99503
boneless half ham,,99504
boneless half ham,,99515
boneless half ham,,99577
boneless half ham,,99611
boneless half ham,,99615
boneless half ham,,99654
boneless half ham,,99701
boneless half ham,,99901
boneless half ham,,97060
boneless half ham,,98057
bottled water,,99503
bottled water,,99504
bottled water,,99515
bottled water,,99577
bottled water,,99611
bottled water,,99615
bottled water,,99654
bottled water,,99701
bottled water,,99901
bottled water,,97060
bottled water,,98057
bread,,99503
bread,,99504
bread,,99515
bread,,99577
bread,,99611
bread,,99615
bread,,99654
bread,,99701
bread,,99901
bread,,97060
bread,,98057
Breakfast bar,,99503
Breakfast bar,,99504
Breakfast bar,,99515
Breakfast bar,,99577
Breakfast bar,,99611
Breakfast bar,,99615
Breakfast bar,,99654
Breakfast bar,,99701
Breakfast bar,,99901
Breakfast bar,,97060
Breakfast bar,,98057
broccoli,,99503
broccoli,,99504
broccoli,,99515
broccoli,,99577
broccoli,,99611
broccoli,,99615
broccoli,,99654
broccoli,,99701
broccoli,,99901
broccoli,,97060
broccoli,,98057
Burrito,,99503
Burrito,,99504
Burrito,,99515
Burrito,,99577
Burrito,,99611
Burrito,,99615
Burrito,,99654
Burrito,,99701
Burrito,,99901
Burrito,,97060
Burrito,,98057
butter,,99503
butter,,99504
butter,,99515
butter,,99577
butter,,99611
butter,,99615
butter,,99654
butter,,99701
butter,,99901
butter,,97060
butter,,98057
Cabbage,,99503
Cabbage,,99504
Cabbage,,99515
Cabbage,,99577
Cabbage,,99611
Cabbage,,99615
Cabbage,,99654
Cabbage,,99701
Cabbage,,99901
Cabbage,,97060
Cabbage,,98057
Cactus,,99503
Cactus,,99504
Cactus,,99515
Cactus,,99577
Cactus,,99611
Cactus,,99615
Cactus,,99654
Cactus,,99701
Cactus,,99901
Cactus,,97060
Cactus,,98057
canola oil,,99503
canola oil,,99504
canola oil,,99515
canola oil,,99577
canola oil,,99611
canola oil,,99615
canola oil,,99654
canola oil,,99701
canola oil,,99901
